Gene stable ID	Macaque gene stable ID	Macaque gene name	Gene name
ENSMUSG00000064341	ENSMMUG00000065372	ND1	mt-Nd1
ENSMUSG00000064341	ENSMMUG00000028699		mt-Nd1
ENSMUSG00000064345	ENSMMUG00000065356	ND2	mt-Nd2
ENSMUSG00000064351	ENSMMUG00000065358	COX1	mt-Co1
ENSMUSG00000064354	ENSMMUG00000065380	COX2	mt-Co2
ENSMUSG00000064356	ENSMMUG00000065383	ATP8	mt-Atp8
ENSMUSG00000064357	ENSMMUG00000065375	ATP6	mt-Atp6
ENSMUSG00000064358	ENSMMUG00000065366	COX3	mt-Co3
ENSMUSG00000064360	ENSMMUG00000065353	ND3	mt-Nd3
ENSMUSG00000065947	ENSMMUG00000065379	ND4L	mt-Nd4l
ENSMUSG00000064363	ENSMMUG00000065387	ND4	mt-Nd4
ENSMUSG00000064367	ENSMMUG00000065354	ND5	mt-Nd5
ENSMUSG00000064368	ENSMMUG00000063316		mt-Nd6
ENSMUSG00000064368	ENSMMUG00000062894		mt-Nd6
ENSMUSG00000064368	ENSMMUG00000050414		mt-Nd6
ENSMUSG00000064368	ENSMMUG00000063555		mt-Nd6
ENSMUSG00000064368	ENSMMUG00000056709		mt-Nd6
ENSMUSG00000064368	ENSMMUG00000065359	ND6	mt-Nd6
ENSMUSG00000064368	ENSMMUG00000028672		mt-Nd6
ENSMUSG00000064370	ENSMMUG00000065382	CYTB	mt-Cytb
ENSMUSG00000094915	ENSMMUG00000016575	SP100	
ENSMUSG00000095041	ENSMMUG00000002182	PISD	
ENSMUSG00000095666	ENSMMUG00000057550		
ENSMUSG00000095666	ENSMMUG00000055233		
ENSMUSG00000095666	ENSMMUG00000056436	PRAMEF12	
ENSMUSG00000095666	ENSMMUG00000054309		
ENSMUSG00000095666	ENSMMUG00000058440		
ENSMUSG00000095666	ENSMMUG00000058407		
ENSMUSG00000095666	ENSMMUG00000054892		
ENSMUSG00000095666	ENSMMUG00000056227		
ENSMUSG00000094741	ENSMMUG00000057550		Pramel39
ENSMUSG00000094741	ENSMMUG00000055233		Pramel39
ENSMUSG00000094741	ENSMMUG00000056436	PRAMEF12	Pramel39
ENSMUSG00000094741	ENSMMUG00000054309		Pramel39
ENSMUSG00000094741	ENSMMUG00000058440		Pramel39
ENSMUSG00000094741	ENSMMUG00000058407		Pramel39
ENSMUSG00000094741	ENSMMUG00000054892		Pramel39
ENSMUSG00000094741	ENSMMUG00000056227		Pramel39
ENSMUSG00000094303	ENSMMUG00000057550		
ENSMUSG00000094303	ENSMMUG00000055233		
ENSMUSG00000094303	ENSMMUG00000056436	PRAMEF12	
ENSMUSG00000094303	ENSMMUG00000054309		
ENSMUSG00000094303	ENSMMUG00000058440		
ENSMUSG00000094303	ENSMMUG00000058407		
ENSMUSG00000094303	ENSMMUG00000054892		
